Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA
Date,,,,,,,,,,,,,,,,,,,,
2016-01-04,23.860580444335938,48.33742141723633,172.37283325195312,14.894000053405762,23.865111185287034,48.33742141723633,172.38140345105595,15.425333023071289,23.1018437643368,47.09370320972757,170.28912345390296,14.600000381469727,23.240001987831818,47.914028342853456,171.91836409830782,15.381333351135254,270597600,53778000,222353500,102406500
2016-01-05,23.262649536132812,48.55793762207031,172.66445922851562,14.895333290100098,23.973823774241684,48.85784146275452,173.1274988016907,15.12600040435791,23.19470397644936,48.108083543458484,171.54114765044824,14.666666984558105,23.9511752543472,48.45209019736676,172.69875312552577,15.090666770935059,223164000,34079700,110845800,47802000
2016-01-06,22.807409286499023,47.67587661743164,170.48641967773438,14.602666854858398,23.18564669372695,47.984603096119194,171.54970047295743,14.670000076293945,22.619424996167677,47.31422809912819,169.44027928713996,14.398667335510254,22.775701009673423,47.9140358901919,170.07481444963673,14.666666984558105,273829600,39518900,152112600,56686500
2016-01-07,21.84482765197754,46.0175895690918,166.39614868164062,14.376667022705078,22.67830587872055,47.18192504662452,169.30304295424807,14.562666893005371,21.840298639689046,45.929383916395814,166.00169702304012,14.244667053222656,22.34989805671469,46.485088949904394,167.49373623043024,14.279333114624023,324377600,56564900,213436100,53314500
2016-01-08,21.960342407226562,46.15871047973633,164.5697479248047,14.066666603088379,22.447293419295224,46.99667402944371,167.93969593077216,14.696000099182129,21.91504536199895,45.99993765951559,164.27820398901974,14.0513334274292,22.320460310280694,46.193990711585066,167.37374846652108,14.52400016784668,283192000,48754000,209817200,54421500
2016-01-11,22.31592559814453,46.13225173950195,164.73263549804688,13.856666564941406,22.435964301812735,46.61738947622742,165.84737667857462,14.296667098999023,22.046403561475106,45.39131294283473,162.76898640066008,13.533332824707031,22.41558115347868,46.31748559746141,165.50437234687826,14.267333030700684,198957600,36943800,187941300,61371000
2016-01-12,22.63980484008789,46.5556526184082,166.06173706054688,13.998000144958496,22.80514231192619,46.83791474373581,166.82490365061733,14.249333381652832,22.38613693457349,45.92056451883606,163.90085572742967,13.687333106994629,22.773434039733296,46.53801081497148,166.19893878296494,14.106666564941406,196616800,36095500,172330500,46378500
2016-01-13,22.057735443115234,45.550086975097656,161.92007446289062,13.354000091552734,22.9183932367697,47.693517001405105,167.09074565860692,14.176667213439941,22.0373522885359,45.250183088479304,161.5342060168762,13.333333015441895,22.72134743597745,47.455357735723226,166.73917110554302,14.133999824523926,249758400,66883600,221168900,61896000
2016-01-14,22.54015350341797,46.84672546386719,164.5783233642578,13.745332717895508,22.757584164840583,47.12016493581251,165.71878853270147,14.0,21.684026537963334,45.48833722672316,160.91684439030172,12.892000198364258,22.186831702556454,45.86762749248194,162.53750266455728,13.480667114257812,252680400,52381900,240795600,97360500
2016-01-15,21.998857498168945,44.976741790771484,161.04539489746094,13.666000366210938,22.130221422711838,45.8411698142138,161.86000879272663,13.671333312988281,21.597973064686837,44.40339505943751,159.08174611479836,13.149999618530273,21.788222835702758,45.25900386516778,160.1536099465362,13.264666557312012,319335600,71820700,324846400,83679000
